game,difficulty,model,model_short,provider,timestamp,total_score,Executability,Executability Contribution,Functionality,Functionality Contribution,Code Quality,Code Quality Contribution,UX,UX Contribution
snake,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260416_233830,0.7615000000000001,1.0,0.2,0.7,0.35,0.61,0.0915,0.8,0.12
snake,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260416_233830,0.642,1.0,0.2,0.5,0.25,0.58,0.087,0.7,0.105
snake,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260416_233830,0.801,1.0,0.2,0.8,0.4,0.64,0.096,0.7,0.105
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260416_233830,0.807,1.0,0.2,0.8,0.4,0.62,0.093,0.76,0.11399999999999999
flappy_bird,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260416_233830,0.8400000000000001,1.0,0.2,0.8,0.4,0.74,0.111,0.86,0.129
flappy_bird,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260416_233830,0.801,1.0,0.2,0.8,0.4,0.48,0.072,0.86,0.129
dodge_blocks,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260416_233830,0.5680000000000001,0.0,0.0,0.8,0.4,0.59,0.0885,0.53,0.0795
dodge_blocks,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260416_233830,0.8445,1.0,0.2,0.8,0.4,0.77,0.11549999999999999,0.86,0.129
dodge_blocks,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260416_233830,0.716,1.0,0.2,0.6,0.3,0.58,0.087,0.86,0.129
maze_runner,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260416_233830,0.6965,1.0,0.2,0.6,0.3,0.57,0.08549999999999999,0.74,0.111
maze_runner,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260416_233830,0.6965,1.0,0.2,0.6,0.3,0.57,0.08549999999999999,0.74,0.111
maze_runner,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260416_233830,0.707,1.0,0.2,0.6,0.3,0.64,0.096,0.74,0.111
pong,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260416_233830,0.7525,1.0,0.2,0.7,0.35,0.46,0.069,0.89,0.1335
pong,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260416_233830,0.563,1.0,0.2,0.3,0.15,0.48,0.072,0.94,0.141
pong,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260416_233830,0.645,1.0,0.2,0.5,0.25,0.5,0.075,0.8,0.12
breakout,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260416_233830,0.725,1.0,0.2,0.6,0.3,0.7,0.105,0.8,0.12
