model_short,total_score,Executability,Functionality,Code Quality,UX
Qwen Coder,0.734,1.0,0.6599999999999999,0.568,0.792
Nova Pro,0.7184166666666667,0.8333333333333334,0.7000000000000001,0.5916666666666667,0.7533333333333334
DeepSeek V3.2,0.7172000000000001,1.0,0.6,0.6279999999999999,0.82
