game,difficulty,model,model_short,timestamp,dimension,indicator,score,max_score,normalized
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Executability,python_syntax_correct,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Executability,short_runtime_stable,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Executability,dependency_initialization_complete,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Executability,window_creation,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Executability,event_handling_mechanism,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Executability,process_controllability,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Functionality,rule_completeness,2.0,2.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Functionality,state_evolution,0.0,2.0,0.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Functionality,interaction_validity,2.0,2.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Functionality,goal_feedback_alignment,2.0,2.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Functionality,constraint_termination,1.0,2.0,0.5
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Code Quality,modularity,9.0,20.0,0.45
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Code Quality,reuse,17.0,20.0,0.85
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Code Quality,naming,15.0,15.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Code Quality,comments,0.0,15.0,0.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Code Quality,constants,5.0,15.0,0.3333333333333333
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,Code Quality,complexity,15.0,15.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,UX,visual,25.0,25.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,UX,smoothness,35.0,35.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,UX,balance,12.0,20.0,0.6
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260416_233830,UX,audio_animation,8.0,20.0,0.4
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Executability,python_syntax_correct,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Executability,short_runtime_stable,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Executability,dependency_initialization_complete,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Executability,window_creation,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Executability,event_handling_mechanism,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Executability,process_controllability,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Functionality,rule_completeness,0.0,2.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Functionality,state_evolution,0.0,2.0,0.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Functionality,interaction_validity,2.0,2.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Functionality,goal_feedback_alignment,2.0,2.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Functionality,constraint_termination,1.0,2.0,0.5
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Code Quality,modularity,3.0,20.0,0.15
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Code Quality,reuse,20.0,20.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Code Quality,naming,15.0,15.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Code Quality,comments,15.0,15.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260416_233830,Code Quality,constants,5.0,15.0,0.3333333333333333
